,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-07-05 13:39:57.000000,2023-07-05 13:39:56,1492,118.0,567.0,107.0,285.0,44.0,114.0,3834,Benchmarks of approximate nearest neighbor libraries in Python.,91.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-29 17:12:03.000000,2023-06-29 17:12:02,245,27.0,149.0,53.0,148.0,1.0,2.0,1943,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-06-29 17:12:08.000,2023.06.29,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-06 14:40:15.000000,2023-07-06 14:40:15,261,27.0,212.0,88.0,149.0,4.0,4.0,3049,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-07-06 14:40:21.000,2023.07.06,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-06 14:40:15.000000,2023-07-06 14:40:15,261,27.0,212.0,88.0,149.0,4.0,4.0,3049,Collection of database clients for python.,10.0,0,True,2023-07-06 14:40:21.000,2023.07.06,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-06 14:40:15.000000,2023-07-06 14:40:15,261,27.0,212.0,88.0,149.0,4.0,4.0,3049,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-07-06 14:40:21.000,2023.07.06,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-07-06 14:40:15.000000,2023-07-06 14:40:15,261,27.0,212.0,88.0,149.0,4.0,4.0,3049,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-07-06 14:40:21.000,2023.07.06,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-07-06 14:00:36.000000,2023-07-06 14:00:30,150259,3987.0,88654.0,7708.0,23130.0,2105.0,35579.0,178127,An Open Source Machine Learning Framework for Everyone.,4391.0,55,True,2023-07-05 17:44:31.079,2.13.0,180.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],304607.0,289704.0,https://pypi.org/project/tensorflow,2022-11-16 20:05:46.496,14903.0,15667264.0,17171753.0,https://anaconda.org/conda-forge/tensorflow,2023-06-18 17:27:07.255,4237623.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-07-06 12:55:26.843388,2183.0,73436177.0,1.0,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-07-06 13:54:13.000000,2023-07-06 13:19:36,30153,299.0,24410.0,2155.0,15712.0,2194.0,8647.0,54990,scikit-learn: machine learning in Python.,2939.0,52,True,2023-06-30 08:07:27.000,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],557174.0,557174.0,https://pypi.org/project/scikit-learn,,,35712617.0,36320038.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23081622.0,,,,,1.0,880.0,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-07-06 14:16:22.000000,2023-07-06 13:44:50,61732,3122.0,18754.0,1655.0,69600.0,12255.0,23550.0,68534,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4173.0,51,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9788.0,,https://pypi.org/project/torch,2022-08-05 17:23:18.762,9788.0,9918421.0,10694228.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17062599.0,,,,,1.0,19283.0,6.0,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-07-06 14:14:03.000000,2023-07-06 09:33:25,13359,813.0,20928.0,1034.0,12285.0,762.0,11510.0,106537,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2005.0,50,True,2023-06-13 19:29:33.000,4.30.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",82508.0,82508.0,https://pypi.org/project/transformers,,,13190876.0,13223938.0,https://anaconda.org/conda-forge/transformers,2023-06-16 06:09:12.219,1190151.0,,,,,1.0,141.0,,,,,,,,,,,,,,,,,,
