,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-03-09 13:10:08.000000,2023-03-08 14:16:38,1341,16.0,483,97.0,209.0,46.0,103.0,3268,Benchmarks of approximate nearest neighbor libraries in Python.,77.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-02 18:31:25.000000,2023-03-02 18:31:24,209,24.0,141,52.0,129.0,,2.0,1828,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-03-02 18:31:48.000,2023.03.02,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-09 13:48:58.000000,2023-03-02 18:32:40,224,23.0,204,83.0,129.0,2.0,4.0,2862,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-02 18:32:47.000,2023.03.02,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-09 13:48:58.000000,2023-03-02 18:32:40,224,23.0,204,83.0,129.0,2.0,4.0,2862,Collection of database clients for python.,9.0,0,True,2023-03-02 18:32:47.000,2023.03.02,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-09 13:48:58.000000,2023-03-02 18:32:40,224,23.0,204,83.0,129.0,2.0,4.0,2862,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-02 18:32:47.000,2023.03.02,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-09 13:48:58.000000,2023-03-02 18:32:40,224,23.0,204,83.0,129.0,2.0,4.0,2862,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-03-02 18:32:47.000,2023.03.02,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-03-09 13:50:46.000000,2023-03-09 13:50:34,144554,4463.0,87934,7748.0,22715.0,2303.0,34744.0,174045,An Open Source Machine Learning Framework for Everyone.,4292.0,55,True,2022-11-18 06:01:33.000,2.11.0,173.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],273067.0,258269.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14798.0,16755509.0,19574660.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,4009199.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-03-09 13:47:43.661656,2114.0,71680623.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-03-09 13:56:54.000000,2023-03-09 13:56:54,29676,317.0,24025,2158.0,15050.0,2120.0,8443.0,53262,scikit-learn: machine learning in Python.,2873.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],506571.0,478899.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,27672.0,36810204.0,37046134.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-09 11:58:40.701,19345505.0,,,,,1.0,849.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-03-09 14:08:08.000000,2023-03-09 01:45:24,57488,2799.0,17626,1633.0,64266.0,11251.0,21462.0,63512,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3882.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7823.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,7823.0,8772457.0,10063883.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,23242931.0,,,,,1.0,11943.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-03-09 09:02:50.000000,2023-03-08 22:43:13,46636,1135.0,6756,593.0,16068.0,1876.0,7789.0,16973,matplotlib: plotting with Python.,1479.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,824904.0,766188.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,58716.0,32879840.0,33059199.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,16142326.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
