,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,3.0,739.0,118.0,340.0,71.0,147.0,4956.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,170.0,58.0,205.0,,3.0,2317.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3687.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3687.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3687.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3687.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-11-07 14:16:35.000000,2024-11-07 12:56:48,171941.0,3778.0,74298.0,7582.0,38966.0,5737.0,38611.0,188835.0,An Open Source Machine Learning Framework for Everyone.,4710.0,55,True,2024-10-24 23:51:36.000,2.18.0,202.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],433687.0,425653.0,https://pypi.org/project/tensorflow,2024-10-25 00:14:11.000,8034.0,18830463.0,19654146.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5068461.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-11-07 13:48:31.858501,2602.0,78431100.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-11-07 14:14:12.000000,2024-11-07 09:53:49,80651.0,3716.0,22533.0,1739.0,93371.0,15270.0,32034.0,83694.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5228.0,55,True,2024-10-29 17:58:24.000,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],581102.0,561243.0,https://pypi.org/project/torch,2024-10-29 17:32:42.000,19859.0,32333312.0,32975380.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24373643.0,,,,,1.0,64410.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-11-07 13:18:44.000000,2024-11-07 13:18:44,31891.0,308.0,25380.0,2141.0,17973.0,2067.0,9689.0,60036.0,scikit-learn: machine learning in Python.,3218.0,53,True,2024-09-11 15:52:05.000,1.5.2,81.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],965513.0,940164.0,https://pypi.org/project/scikit-learn,2024-09-11 15:49:19.000,25349.0,78396254.0,78988161.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31962496.0,,,,,1.0,1028.0,,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-11-07 07:31:27.000000,2024-11-05 17:32:17,17340.0,769.0,26893.0,1123.0,18055.0,1419.0,15114.0,134562.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2915.0,52,True,2024-11-05 18:21:54.000,4.46.2,163.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",243802.0,237144.0,https://pypi.org/project/transformers,2024-11-05 18:21:50.000,6658.0,44441542.0,44483630.0,https://anaconda.org/conda-forge/transformers,2024-11-06 04:51:04.028,2188616.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-11-07 09:15:47.000000,2024-11-07 09:15:47,33694.0,497.0,5160.0,348.0,11423.0,1745.0,8917.0,13065.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1708.0,50,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,,1181676.0,1135800.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,45876.0,122874601.0,124005385.0,https://anaconda.org/conda-forge/scipy,2024-10-21 07:19:53.878,54095606.0,,,,,1.0,424902.0,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-11-05 23:24:56.000000,2024-11-05 23:24:56,59106.0,503.0,4410.0,291.0,13483.0,5137.0,8902.0,12971.0,A computer algebra system written in pure Python.,1334.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,189248.0,185748.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,29586414.0,29720372.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7015247.0,,,,,1.0,550455.0,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-11-07 05:49:28.000000,2024-11-07 05:49:28,11113.0,245.0,19472.0,1913.0,7545.0,256.0,11957.0,61975.0,Deep Learning for humans.,1344.0,48,True,2024-10-03 19:44:54.000,3.6.0,103.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1582.0,,https://pypi.org/project/keras,2024-10-03 19:44:54.000,1582.0,13726579.0,13797895.0,https://anaconda.org/conda-forge/keras,2024-10-07 20:46:42.672,3779767.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-11-07 09:13:13.000000,2024-11-06 21:00:46,51313.0,421.0,7621.0,592.0,18519.0,1576.0,9349.0,20255.0,matplotlib: plotting with Python.,1744.0,48,True,2024-08-13 01:44:21.000,3.9.2,128.0,matplotlib,conda-forge/matplotlib,,,,1452706.0,1401683.0,https://pypi.org/project/matplotlib,2024-11-01 03:44:50.000,51023.0,71073187.0,71576268.0,https://anaconda.org/conda-forge/matplotlib,2024-09-12 20:10:05.995,26663337.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-11-06 23:11:13.000000,2024-11-06 23:11:13,18793.0,508.0,2218.0,220.0,5167.0,111.0,3103.0,12265.0,Python Imaging Library (Fork).,479.0,48,True,2024-10-15 14:29:17.000,11.0.0,99.0,Pillow,conda-forge/pillow,,,,1907321.0,1898426.0,https://pypi.org/project/Pillow,2024-10-15 14:21:49.000,8895.0,119654516.0,120538588.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,45971746.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
