,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-14 00:50:12.000000,2022-03-07 14:19:56,1269,4.0,433,96.0,181.0,39.0,79.0,2832,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-07 16:32:52.000000,2022-02-19 17:48:44,116,14.0,104,46.0,79.0,4.0,2.0,1481,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-02-19 17:48:53.000,2022.02.17,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-14 13:45:29.000000,2022-02-19 17:49:35,120,12.0,149,70.0,78.0,,4.0,2086,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-04-14 13:45:29.000000,2022-02-19 17:49:35,120,12.0,149,70.0,78.0,,4.0,2086,Collection of database clients for python.,6.0,0,True,2022-02-19 17:49:44.000,2022.02.17,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-04-14 13:39:33.000000,2022-04-14 13:39:27,127868,3905.0,86642,7870.0,20766.0,2432.0,32220.0,166226,An Open Source Machine Learning Framework for Everyone.,3977.0,55,True,2022-02-02 16:58:42.000,2.7.1,146.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],205289.0,191227.0,https://pypi.org/project/tensorflow,2022-04-12 16:50:18.000,14062.0,14958429.0,15847919.0,https://anaconda.org/conda-forge/tensorflow,2022-02-06 08:03:30.812,3198484.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-04-14 13:37:05.754484,2005.0,65117078.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,data-containers,,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000,2022-04-14 14:11:40.000000,2022-04-14 01:07:38,29319,615.0,14254,1106.0,24395.0,3463.0,18983.0,33402,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2970.0,52,True,2022-04-02 10:32:27.000,1.4.2,102.0,pandas,conda-forge/pandas,,,['pandas'],750690.0,691751.0,https://pypi.org/project/pandas,2022-04-02 10:32:27.000,58939.0,83479493.0,83822444.0,https://anaconda.org/conda-forge/pandas,2022-04-10 13:06:45.304,24247666.0,,,,,1.0,142155.0,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-04-14 13:48:05.000000,2022-04-14 06:03:01,28246,510.0,22803,2192.0,13310.0,2415.0,7680.0,49681,scikit-learn: machine learning in Python.,2568.0,51,True,2021-12-25 20:30:08.000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],362229.0,337289.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000,24940.0,32149282.0,32317831.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879,11966330.0,,,,,1.0,789.0,,,,,,,,,,,,,,,,,,,
7,numpy,numpy/numpy,data-containers,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000,2022-04-13 22:57:15.000000,2022-04-12 23:52:43,29436,571.0,6777,560.0,10840.0,2272.0,8420.0,20140,The fundamental package for scientific computing with Python.,1421.0,50,True,2022-04-12 15:30:41.000,1.21.6,124.0,numpy,conda-forge/numpy,,,,1164310.0,1045011.0,https://pypi.org/project/numpy,2022-04-12 14:48:15.000,119299.0,107284328.0,107728485.0,https://anaconda.org/conda-forge/numpy,2022-04-13 01:56:09.169,30998276.0,,,,,1.0,491534.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-04-14 14:05:47.000000,2022-04-14 14:02:29,9561,845.0,14068,799.0,7636.0,469.0,8687.0,61005,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1266.0,49,True,2022-04-07 18:08:23.000,4.18.0,89.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",26634.0,25808.0,https://pypi.org/project/transformers,2022-04-06 15:07:45.000,826.0,5664540.0,5669571.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,149903.0,,,,,1.0,1471.0,,,,,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-04-14 14:05:06.000000,2022-04-14 13:18:00,45358,2323.0,15196,1601.0,50248.0,11517.0,17446.0,55288,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3205.0,49,True,2022-03-10 16:59:55.000,1.11.0,39.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6959.0,,https://pypi.org/project/torch,2022-03-10 16:38:35.000,6959.0,8080597.0,10382733.0,https://anaconda.org/pytorch/pytorch,2022-03-10 16:43:32.673,16114640.0,,,,,1.0,3033.0,,,,,,,,,,,,,,,,,,,
