,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,helm_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-23 18:32:44.000000,2023-08-23 18:32:44,1514.0,48.0,570,107.0,298.0,44.0,123.0,3970,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-17 16:23:52.000000,2023-08-17 16:23:51,259.0,25.0,149,51.0,155.0,1.0,2.0,1989,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-08-17 16:23:56.000,2023.08.17,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215,88.0,157.0,4.0,4.0,3117,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215,88.0,157.0,4.0,4.0,3117,Collection of database clients for python.,11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215,88.0,157.0,4.0,4.0,3117,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215,88.0,157.0,4.0,4.0,3117,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",11.0,0,True,2023-08-24 13:57:37.000,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-08-24 14:05:41.000000,2023-08-24 14:00:46,152837.0,4222.0,88846,7696.0,23290.0,2122.0,35889.0,179342,An Open Source Machine Learning Framework for Everyone.,4424.0,55,True,2023-07-05 19:49:02.000,2.12.1,181.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],315199.0,300097.0,https://pypi.org/project/tensorflow,2023-08-17 18:16:39.000,15102.0,16304479.0,17715507.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4307405.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-08-24 12:48:54.272974,2195.0,73998747.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-08-24 13:48:57.000000,2023-08-24 13:28:14,30305.0,317.0,24573,2150.0,15939.0,2240.0,8752.0,55483,scikit-learn: machine learning in Python.,2975.0,52,True,2023-06-30 08:07:27.000,1.3.0,71.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],615272.0,586146.0,https://pypi.org/project/scikit-learn,2023-06-30 07:56:57.845,29126.0,40911342.0,41525046.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23934078.0,,,,,1.0,892.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-08-24 13:56:48.000000,2023-08-24 11:38:35,63311.0,2717.0,19178,1672.0,71706.0,12475.0,24247.0,70015,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4287.0,51,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],10475.0,10.0,https://pypi.org/project/torch,2023-05-08 16:30:35.713,10465.0,10899328.0,11679431.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17936147.0,,,,,1.0,22494.0,4.0,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-08-24 14:06:49.000000,2023-08-24 13:15:43,13792.0,800.0,20928,1054.0,12861.0,593.0,11956.0,110652,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2089.0,50,True,2023-08-22 13:11:09.000,4.32.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",94020.0,94020.0,https://pypi.org/project/transformers,,,15675344.0,15709789.0,https://anaconda.org/conda-forge/transformers,2023-08-23 04:20:34.550,1274382.0,,,,,1.0,142.0,,,,,,,,,,,,,,,,,,,
