,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-12 20:58:17.000000,2023-04-11 15:17:59,1387.0,62.0,508,100.0,241.0,35.0,105.0,3407,Benchmarks of approximate nearest neighbor libraries in Python.,81.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-08 18:42:47.000000,2023-04-08 18:42:46,219.0,25.0,142,52.0,134.0,1.0,2.0,1858,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-04-08 18:42:53.000,2023.04.06,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-13 13:36:39.000000,2023-04-06 14:00:08,234.0,24.0,209,83.0,136.0,4.0,4.0,2930,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-13 13:36:39.000000,2023-04-06 14:00:08,234.0,24.0,209,83.0,136.0,4.0,4.0,2930,Collection of database clients for python.,9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-13 13:36:39.000000,2023-04-06 14:00:08,234.0,24.0,209,83.0,136.0,4.0,4.0,2930,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-13 13:36:39.000000,2023-04-06 14:00:08,234.0,24.0,209,83.0,136.0,4.0,4.0,2930,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-03-30 17:13:22.000,2023.03.30,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-13 14:11:15.000000,2023-04-13 14:11:09,146453.0,4713.0,88107,7728.0,22850.0,2217.0,35050.0,175426,An Open Source Machine Learning Framework for Everyone.,4325.0,55,True,2023-03-23 15:50:02.000,2.12.0,175.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],280377.0,265506.0,https://pypi.org/project/tensorflow,2023-03-22 23:10:35.879,14871.0,16334697.0,18503539.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4068736.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-13 12:47:24.384389,2128.0,72321173.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-13 12:32:29.000000,2023-04-13 11:59:08,29872.0,397.0,24161,2158.0,15322.0,2158.0,8494.0,53787,scikit-learn: machine learning in Python.,2902.0,52,True,2023-03-09 10:08:59.000,1.2.2,69.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],525751.0,497756.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,27995.0,37725644.0,37974514.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20655438.0,,,,,1.0,858.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-04-13 14:11:02.000000,2023-04-13 10:25:07,58823.0,3246.0,17960,1641.0,66022.0,11568.0,22011.0,65242,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3983.0,50,True,2023-03-15 19:38:58.000,2.0.0,44.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],9317.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,9317.0,10035068.0,10832960.0,https://anaconda.org/pytorch/pytorch,2023-03-14 19:20:31.620,15156805.0,,,,,1.0,13170.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-04-13 10:46:29.000000,2023-04-13 10:46:29,46923.0,901.0,6799,590.0,16242.0,1801.0,7968.0,17198,matplotlib: plotting with Python.,1492.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,853276.0,794043.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,59233.0,34344521.0,34536570.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17476492.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
