,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-03-02 01:23:46.000000,2023-02-26 18:42:12,1333.0,13.0,480,96.0,202.0,46.0,102.0,3253,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-27 15:57:42.000000,2023-02-27 15:57:40,207.0,23.0,138,51.0,128.0,,2.0,1818,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-02-27 15:57:53.000,2023.02.23,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,204,83.0,128.0,2.0,4.0,2848,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-02-24 19:47:39.000,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,204,83.0,128.0,2.0,4.0,2848,Collection of database clients for python.,9.0,0,True,2023-02-24 19:47:39.000,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,204,83.0,128.0,2.0,4.0,2848,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-02-24 19:47:39.000,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,204,83.0,128.0,2.0,4.0,2848,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2023-02-24 19:47:39.000,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-03-02 14:13:16.000000,2023-03-02 14:13:04,144094.0,4374.0,87866,7751.0,22679.0,2282.0,34722.0,173844,An Open Source Machine Learning Framework for Everyone.,4286.0,55,True,2022-11-18 06:01:33.000,2.11.0,172.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],271883.0,257142.0,https://pypi.org/project/tensorflow,2022-11-18 05:40:24.645,14741.0,16633398.0,19446241.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3999531.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-03-02 13:47:28.250913,2110.0,71550941.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-03-02 12:01:09.000000,2023-03-02 12:01:09,29639.0,302.0,23993,2154.0,15015.0,2142.0,8426.0,53160,scikit-learn: machine learning in Python.,2871.0,52,True,2023-01-24 16:52:14.000,1.2.1,68.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],503456.0,475887.0,https://pypi.org/project/scikit-learn,2023-01-24 16:44:32.680,27569.0,36331917.0,36565153.0,https://anaconda.org/conda-forge/scikit-learn,2023-01-25 02:09:45.686,19124595.0,,,,,1.0,845.0,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-03-02 14:13:28.000000,2023-03-02 14:13:15,57271.0,2833.0,17562,1634.0,63886.0,11114.0,21371.0,63293,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3873.0,50,True,2022-12-16 00:17:16.000,1.13.1,43.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],7823.0,,https://pypi.org/project/torch,2022-12-15 20:09:57.027,7823.0,8587939.0,9870022.0,https://anaconda.org/pytorch/pytorch,2022-12-15 16:18:09.640,23074825.0,,,,,1.0,11678.0,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-03-02 12:29:58.000000,2023-03-02 02:08:17,46470.0,1103.0,6750,592.0,16028.0,1888.0,7755.0,16937,matplotlib: plotting with Python.,1478.0,50,True,2023-02-13 22:56:02.762,3.7.0,100.0,matplotlib,conda-forge/matplotlib,,,,820108.0,761537.0,https://pypi.org/project/matplotlib,2023-01-25 21:23:43.941,58571.0,32504614.0,32682144.0,https://anaconda.org/conda-forge/matplotlib,2023-02-14 21:00:18.268,15977716.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-03-02 14:24:50.000000,2023-03-02 13:51:59,12192.0,708.0,17916,910.0,10842.0,552.0,10560.0,83223,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1756.0,49,True,2023-02-09 19:30:35.000,4.26.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",58763.0,57381.0,https://pypi.org/project/transformers,2023-01-24 17:05:59.598,1382.0,10750662.0,10772260.0,https://anaconda.org/conda-forge/transformers,2023-02-11 04:54:51.229,885164.0,,,,,1.0,408.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-03-02 14:26:42.000000,2023-03-02 12:42:57,29668.0,507.0,4607,343.0,9165.0,1674.0,7531.0,10890,"Ecosystem of open-source software for mathematics, science, and engineering.",1431.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,739203.0,677916.0,https://pypi.org/project/scipy,2023-01-03 22:36:58.305,61287.0,51470012.0,51881833.0,https://anaconda.org/conda-forge/scipy,2023-02-26 14:29:14.610,33442617.0,,,,,1.0,366674.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-03-02 10:20:41.000000,2023-03-02 10:20:41,14421.0,350.0,1984,219.0,4145.0,129.0,2639.0,10566,Python Imaging Library (Fork).,428.0,47,True,2023-01-02 21:32:51.909,9.4.0,91.0,Pillow,conda-forge/pillow,,,,1123802.0,1059027.0,https://pypi.org/project/Pillow,2023-01-02 21:32:51.909,64775.0,52580162.0,52868014.0,https://anaconda.org/conda-forge/pillow,2023-02-04 06:06:48.806,23891745.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-03-02 14:28:55.000000,2023-03-02 08:32:48,53450.0,860.0,3872,287.0,12193.0,4682.0,8303.0,10353,A computer algebra system written in pure Python.,1198.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,58752.0,54317.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4435.0,2993274.0,3033316.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2937500.0,,,,,1.0,489510.0,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-03-02 07:16:51.000000,2023-03-01 22:53:08,7804.0,254.0,19302,1923.0,5929.0,364.0,11373.0,57452,Deep Learning for humans.,1162.0,45,True,2022-11-14 18:10:37.000,2.11.0,75.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],457.0,,https://pypi.org/project/keras,2022-11-14 17:20:05.792,457.0,10521776.0,10558582.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2907745.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
