,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-04-06 16:22:39.000000,2021-04-06 16:22:36.000000,335,27.0,60.0,2149,1179.0,Benchmarks of approximate nearest neighbor libraries in Python.,54.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-04-08 15:14:57.000000,2021-04-04 19:10:11.000000,71,,2.0,1149,,Collection of web-scraping and crawling libraries.,6.0,0,True,2021-04-04 19:10:52.000000,2021.04.01,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-04-08 14:48:54.000000,2021-04-08 14:48:53.000000,111,,3.0,1548,,Collection of database clients for python.,5.0,0,True,2021-04-08 14:49:01.000000,2021.04.08,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-04-08 13:57:07.422189,2021-04-08 13:28:23.000000,84359,4031.0,27202.0,156570,108359.0,An Open Source Machine Learning Framework for Everyone.,3606.0,44,True,2021-01-21 19:55:54.000000,2.4.1,117.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],152648.0,130124.0,https://pypi.org/project/tensorflow,2021-04-01 23:34:05.000000,22524.0,8187835.0,8991974.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2457378.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-04-08 13:57:07.422189,1881.0,49650606.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-04-08 14:55:23.000000,2021-04-08 14:43:38.000000,12167,3752.0,16738.0,29271,26429.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2645.0,43,True,2021-03-02 12:03:23.000000,1.2.3,89.0,pandas,conda-forge/pandas,,,['pandas'],493796.0,417012.0,https://pypi.org/project/pandas,2021-02-09 13:20:50.000000,76784.0,43116155.0,43377770.0,https://anaconda.org/conda-forge/pandas,2021-03-02 16:53:17.820000,15366311.0,,,,,1.0,101869.0,3.0,,,,,,,,,,,,,,,,,,,,
5,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-04-08 14:23:53.000000,2021-04-08 04:00:12.000000,5733,1702.0,6123.0,13431,38479.0,matplotlib: plotting with Python.,1222.0,41,True,2021-03-31 07:23:52.000000,3.4.1,66.0,matplotlib,conda-forge/matplotlib,,,,429044.0,349940.0,https://pypi.org/project/matplotlib,2021-03-26 07:50:28.000000,79104.0,15871310.0,15999190.0,https://anaconda.org/conda-forge/matplotlib,2021-03-31 18:55:37.001000,8568024.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-04-07 16:33:46.000000,2021-04-07 08:28:18.000000,3618,1612.0,5825.0,8087,25326.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1147.0,41,True,2021-03-25 02:04:06.000000,1.6.2,61.0,scipy,conda-forge/scipy,,,,411385.0,324523.0,https://pypi.org/project/scipy,2021-02-18 02:35:14.000000,86862.0,25881835.0,26117986.0,https://anaconda.org/conda-forge/scipy,2021-03-27 22:49:06.551000,13667039.0,,,,,1.0,311002.0,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-04-08 14:03:56.000000,2021-04-08 13:44:23.000000,12477,8228.0,13542.0,47410,35222.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2589.0,40,True,2021-03-25 16:07:08.000000,1.8.1,32.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],76492.0,69810.0,https://pypi.org/project/torch,2021-03-25 15:54:32.000000,6682.0,3044950.0,3301761.0,https://anaconda.org/pytorch/pytorch,2021-03-25 16:42:58.661000,10529274.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-04-08 13:38:34.408000,2021-04-07 16:31:19.000000,1601,210.0,1955.0,8391,11534.0,The friendly PIL fork (Python Imaging Library).,354.0,40,True,2021-04-01 20:55:51.000000,8.2.0,80.0,Pillow,conda-forge/pillow,,,,547004.0,435578.0,https://pypi.org/project/Pillow,2021-04-01 20:53:21.000000,111426.0,28447748.0,28579691.0,https://anaconda.org/conda-forge/pillow,2021-04-08 13:38:34.408000,7916599.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
9,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-04-08 12:41:58.000000,2021-04-06 15:08:46.000000,3974,497.0,3970.0,17026,11570.0,Asynchronous task queue/job queue based on distributed message passing.,1105.0,39,True,2021-04-02 04:55:05.000000,5.1.0b1,172.0,celery,conda-forge/celery,,,,79336.0,51102.0,https://pypi.org/project/celery,2021-04-02 04:52:41.000000,28234.0,4755268.0,4762735.0,https://anaconda.org/conda-forge/celery,2021-03-24 04:34:11.646000,455532.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
