,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,new_addition,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2020-12-21 17:49:43.000000,2020-12-17 23:33:58.000000,314.0,25.0,56.0,1966,1156.0,Benchmarks of approximate nearest neighbor libraries in Python.,52.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-01-08 01:03:57.000000,2021-01-08 01:03:55.000000,,,,2,,A ranked list of awesome python libraries for web development. Updated weekly.,,0,True,2021-01-08 01:07:00.000000,2021.01.08,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-01-08 01:57:37.000000,2021-01-08 01:56:23.000000,83535.0,4248.0,25570.0,154047,102398.0,An Open Source Machine Learning Framework for Everyone.,3482.0,44,True,2021-01-06 17:51:27.000000,2.3.2,114.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],138673.0,116149.0,https://pypi.org/project/tensorflow,2020-12-14 17:58:05.000000,22524.0,5735806.0,6522197.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 22:30:18.070000,2251246.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-01-07 17:11:27.705801,1828.0,46349834.0,1.0,,,,,,,,,,,,,,,,,,,,
3,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-01-08 01:14:21.000000,2021-01-08 00:19:43.000000,11652.0,3534.0,16251.0,27964,25539.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2563.0,43,True,2020-12-26 16:58:54.000000,1.2.0,87.0,pandas,conda-forge/pandas,,,['pandas'],438868.0,362084.0,https://pypi.org/project/pandas,2020-12-26 16:58:54.000000,76784.0,24441436.0,24674731.0,https://anaconda.org/conda-forge/pandas,2020-12-27 15:52:28.489000,13025828.0,,,,,1.0,58117.0,,,,,,,,,,,,,,,,,,,
4,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-01-08 01:24:03.000000,2021-01-07 09:22:42.000000,5147.0,2221.0,7227.0,15925,25174.0,The fundamental package for scientific computing with Python.,1231.0,42,True,2021-01-05 17:49:34.000000,1.19.5,94.0,numpy,conda-forge/numpy,,,,762689.0,592967.0,https://pypi.org/project/numpy,2021-01-05 17:19:38.000000,169722.0,39308461.0,39581721.0,https://anaconda.org/conda-forge/numpy,2021-01-05 22:45:41.126000,14975366.0,,,,,1.0,292183.0,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-01-07 21:45:43.000000,2021-01-06 14:48:57.000000,20797.0,2325.0,6586.0,43645,26404.0,scikit-learn: machine learning in Python.,2112.0,41,True,2020-12-22 16:55:16.000000,0.24.0,52.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],218358.0,180470.0,https://pypi.org/project/scikit-learn,2020-12-22 15:06:38.000000,37888.0,10122724.0,10233654.0,https://anaconda.org/conda-forge/scikit-learn,2020-12-22 17:47:32.588000,6211522.0,,,,,1.0,626.0,,,,,,,,,,,,,,,,,,,
6,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-01-08 00:06:56.000000,2021-01-07 02:12:06.000000,5570.0,1654.0,5917.0,12897,37558.0,matplotlib: plotting with Python.,1191.0,40,True,2020-11-12 04:43:18.000000,3.3.3,61.0,matplotlib,conda-forge/matplotlib,,,,388660.0,309556.0,https://pypi.org/project/matplotlib,2020-11-12 04:43:18.000000,79104.0,9382518.0,9502542.0,https://anaconda.org/conda-forge/matplotlib,2020-11-18 02:20:26.810000,7681540.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-01-08 01:10:37.000000,2021-01-07 05:51:15.000000,3507.0,1569.0,5649.0,7815,24765.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1107.0,40,True,2020-12-31 15:02:43.000000,1.6.0,59.0,scipy,conda-forge/scipy,,,,376396.0,289534.0,https://pypi.org/project/scipy,2020-12-22 21:20:33.000000,86862.0,14038416.0,14249821.0,https://anaconda.org/conda-forge/scipy,2021-01-01 00:23:34.909000,11581540.0,,,,,1.0,303075.0,True,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-01-08 02:17:46.000000,2021-01-08 00:20:16.000000,11602.0,7100.0,12478.0,45296,32587.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2453.0,39,True,2020-12-10 17:19:58.000000,1.7.1,30.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],64432.0,57750.0,https://pypi.org/project/torch,2020-12-10 16:22:02.000000,6682.0,1789765.0,2043372.0,https://anaconda.org/pytorch/pytorch,2020-12-10 16:11:32.801000,9637085.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-01-08 01:46:58.000000,2021-01-08 00:47:37.000000,23144.0,204.0,,28476,29022.0,Apache Spark Python API.,2381.0,38,True,2020-09-07 15:29:07.000000,3.0.1,21.0,pyspark,conda-forge/pyspark,,,['spark'],1296.0,536.0,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,6663549.0,6682254.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,860430.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,
