,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-05-18 14:26:10.000000,2023-05-18 13:19:48,1447.0,118.0,526,105.0,275.0,35.0,108.0,3620,Benchmarks of approximate nearest neighbor libraries in Python.,87.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-05-11 17:24:09.000000,2023-05-11 17:24:08,229.0,24.0,145,52.0,140.0,1.0,2.0,1896,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-05-11 17:24:17.000,2023.05.11,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-18 13:38:07.000000,2023-05-11 17:23:44,245.0,25.0,209,85.0,142.0,4.0,4.0,2981,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-05-11 17:23:53.000,2023.05.11,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-18 13:38:07.000000,2023-05-11 17:23:44,245.0,25.0,202,85.0,142.0,3.0,4.0,2981,Collection of database clients for python.,10.0,0,True,2023-05-11 17:23:53.000,2023.05.11,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-18 13:38:07.000000,2023-05-11 17:23:44,245.0,25.0,209,85.0,142.0,4.0,4.0,2981,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-05-11 17:23:53.000,2023.05.11,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-18 13:38:07.000000,2023-05-11 17:23:44,245.0,25.0,209,85.0,142.0,4.0,4.0,2981,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-05-11 17:23:53.000,2023.05.11,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-05-18 13:22:01.000000,2023-05-18 12:33:47,148063.0,4408.0,71372,7721.0,22961.0,1946.0,35282.0,176769,An Open Source Machine Learning Framework for Everyone.,4351.0,55,True,2023-03-23 15:50:02.000,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],275729.0,275729.0,https://pypi.org/project/tensorflow,15878055.0,17722548.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4139618.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-05-18 12:47:19.699521,2150.0,72863093.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-05-18 13:56:06.000000,2023-05-17 18:39:56,29971.0,389.0,23447,2155.0,15475.0,1571.0,8553.0,54270,scikit-learn: machine learning in Python.,2919.0,52,True,2023-03-09 10:08:59.000,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],524050.0,524050.0,https://pypi.org/project/scikit-learn,35616381.0,35874435.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,21675708.0,,,,,1.0,867.0,,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-05-18 13:19:17.000000,2023-05-18 13:19:17,47174.0,792.0,6847,589.0,16406.0,1756.0,8130.0,17402,matplotlib: plotting with Python.,1505.0,50,True,2023-03-04 07:29:28.961,3.7.1,101.0,matplotlib,conda-forge/matplotlib,,,,893734.0,834142.0,https://pypi.org/project/matplotlib,33432938.0,33632371.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,18347899.0,,,,,1.0,,2023-01-25 21:23:43.941,59592.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-05-18 14:03:41.000000,2023-05-18 13:46:40,12907.0,825.0,20475,1012.0,11729.0,699.0,11086.0,100375,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1913.0,49,True,2023-05-16 19:47:56.000,4.29.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",71206.0,71206.0,https://pypi.org/project/transformers,13059213.0,13085102.0,https://anaconda.org/conda-forge/transformers,2023-05-17 02:53:51.924,1113100.0,,,,,1.0,140.0,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-05-18 13:15:23.000000,2023-05-18 07:22:04,30123.0,536.0,4696,347.0,9421.0,1675.0,7682.0,11249,"Ecosystem of open-source software for mathematics, science, and engineering.",1462.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,794068.0,731941.0,https://pypi.org/project/scipy,55574634.0,56022757.0,https://anaconda.org/conda-forge/scipy,2023-05-12 19:18:42.399,37310031.0,,,,,1.0,371915.0,2023-01-03 22:36:58.305,62127.0,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-05-18 12:21:28.000000,2023-05-17 06:53:42,14837.0,410.0,2029,219.0,4258.0,112.0,2708.0,10824,Python Imaging Library (Fork).,436.0,47,True,2023-04-01 09:33:34.000,9.5.0,92.0,Pillow,conda-forge/pillow,,,,1234156.0,1168802.0,https://pypi.org/project/Pillow,55958015.0,56287824.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,28033789.0,,,,,1.0,,2023-01-02 21:32:51.909,65354.0,,,,,,,,,,,,,,,,,,,
12,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-05-18 12:31:22.000000,2023-05-18 10:01:49,60318.0,3398.0,17731,1650.0,67789.0,11058.0,22709.0,66895,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4060.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,9933028.0,10734847.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,16032475.0,,,,,1.0,15729.0,,,,,,,,,,,,,,,,,,,,,
