,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,dnf_id,yay_id,snap_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-06-01 02:02:54.000000,2023-06-01 02:02:53,1451.0,117.0,560,106.0,277.0,43.0,110.0,3676,Benchmarks of approximate nearest neighbor libraries in Python.,87.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-05-25 21:49:12.000000,2023-05-25 21:49:11,234.0,25.0,146,53.0,143.0,1.0,2.0,1912,Collection of web-scraping and crawling libraries.,11.0,0,True,2023-05-25 21:49:43.000,2023.05.25,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-01 13:55:05.000000,2023-06-01 13:55:05,251.0,27.0,209,85.0,144.0,4.0,4.0,2997,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-01 13:55:05.000000,2023-06-01 13:55:05,251.0,27.0,209,85.0,144.0,4.0,4.0,2997,Collection of database clients for python.,10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-01 13:55:05.000000,2023-06-01 13:55:05,251.0,27.0,209,85.0,144.0,4.0,4.0,2997,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-06-01 13:55:05.000000,2023-06-01 13:55:05,251.0,27.0,209,85.0,144.0,4.0,4.0,2997,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-06-01 13:55:13.000,2023.06.01,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-06-01 13:27:05.000000,2023-06-01 13:26:59,148654.0,4344.0,71426,7711.0,23008.0,1936.0,35366.0,177325,An Open Source Machine Learning Framework for Everyone.,4358.0,55,True,2023-03-23 15:50:02.000,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],280545.0,280545.0,https://pypi.org/project/tensorflow,15324605.0,16959557.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4163061.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-06-01 12:49:21.473656,2154.0,73012963.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-06-01 13:41:35.000000,2023-06-01 12:40:23,30006.0,365.0,23470,2150.0,15528.0,1571.0,8582.0,54442,scikit-learn: machine learning in Python.,2924.0,52,True,2023-03-09 10:08:59.000,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],535110.0,535110.0,https://pypi.org/project/scikit-learn,35836500.0,36100147.0,https://anaconda.org/conda-forge/scikit-learn,2023-05-25 17:58:28.766,22409177.0,,,,,1.0,873.0,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-06-01 14:14:08.000000,2023-06-01 14:10:15,13038.0,816.0,19812,1021.0,11874.0,585.0,11203.0,102474,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1940.0,49,True,2023-05-16 19:47:56.000,4.29.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",74664.0,74664.0,https://pypi.org/project/transformers,13293920.0,13319636.0,https://anaconda.org/conda-forge/transformers,2023-05-17 02:53:51.924,1131392.0,,,,,1.0,140.0,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-06-01 14:20:30.000000,2023-06-01 11:34:31,30253.0,559.0,4740,346.0,9494.0,1656.0,7724.0,11294,"Ecosystem of open-source software for mathematics, science, and engineering.",1466.0,49,True,2023-02-19 21:46:42.000,1.10.1,90.0,scipy,conda-forge/scipy,,,,807777.0,745052.0,https://pypi.org/project/scipy,55357734.0,55811655.0,https://anaconda.org/conda-forge/scipy,2023-05-12 19:18:42.399,38249593.0,,,,,1.0,373013.0,2023-01-03 22:36:58.305,62725.0,,,,,,,,,,,,,,,,,,
