,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-05-04 02:08:42.000000,2023-05-01 15:14:51,1440.0,114.0,519,103.0,270.0,35.0,108.0,3591,Benchmarks of approximate nearest neighbor libraries in Python.,86.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-05-04 22:16:19.000000,2023-05-04 22:16:17,227.0,25.0,143,51.0,139.0,1.0,2.0,1890,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-05-04 22:16:23.000,2023.05.04,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-11 13:58:29.000000,2023-05-04 13:33:07,243.0,25.0,209,84.0,141.0,4.0,4.0,2975,Collection of data-loading and -extraction libraries.,10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-11 13:58:29.000000,2023-05-04 13:33:07,243.0,25.0,209,84.0,141.0,4.0,4.0,2975,Collection of database clients for python.,10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-11 13:58:29.000000,2023-05-04 13:33:07,243.0,25.0,209,84.0,141.0,4.0,4.0,2975,"Collection of data-container, dataframe, and pandas-utility libraries.",10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-05-11 13:58:29.000000,2023-05-04 13:33:07,243.0,25.0,209,84.0,141.0,4.0,4.0,2975,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",10.0,0,True,2023-05-04 13:33:12.000,2023.05.04,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-05-11 12:59:56.000000,2023-05-11 11:02:30,147774.0,4548.0,71334,7721.0,22948.0,1943.0,35244.0,176484,An Open Source Machine Learning Framework for Everyone.,4344.0,55,True,2023-03-23 15:50:02.000,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],273376.0,273376.0,https://pypi.org/project/tensorflow,15603786.0,17444430.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4128205.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-05-11 12:52:38.877539,2143.0,72773454.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-05-11 14:10:41.000000,2023-05-10 10:42:54,29957.0,383.0,23434,2155.0,15448.0,1570.0,8545.0,54170,scikit-learn: machine learning in Python.,2916.0,52,True,2023-03-09 10:08:59.000,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],517459.0,517459.0,https://pypi.org/project/scikit-learn,35760789.0,36013226.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,21203879.0,,,,,1.0,866.0,,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-05-11 14:16:49.000000,2023-05-11 12:54:23,12834.0,817.0,19441,1002.0,11635.0,535.0,11028.0,98945,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1895.0,49,True,2023-05-10 21:55:11.000,4.29.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",69420.0,69420.0,https://pypi.org/project/transformers,12810629.0,12836284.0,https://anaconda.org/conda-forge/transformers,2023-04-15 05:23:24.770,1103057.0,,,,,1.0,140.0,,,,,,,,,,,,,,,,,,,,
9,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-05-11 14:09:29.000000,2023-05-11 08:23:19,30078.0,530.0,4696,347.0,9400.0,1675.0,7661.0,11216,"Ecosystem of open-source software for mathematics, science, and engineering.",1461.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,787346.0,725219.0,https://pypi.org/project/scipy,55711707.0,56152796.0,https://anaconda.org/conda-forge/scipy,2023-05-10 17:21:45.009,36719533.0,,,,,1.0,371500.0,2023-01-03 22:36:58.305,62127.0,,,,,,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-05-11 13:33:01.000000,2023-05-11 13:33:01,47122.0,790.0,6693,590.0,16373.0,1367.0,8098.0,17367,matplotlib: plotting with Python.,1504.0,47,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,824128.0,824128.0,https://pypi.org/project/matplotlib,33602239.0,33796861.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17905226.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-05-11 07:52:38.000000,2023-05-11 07:52:38,14804.0,414.0,1868,219.0,4254.0,85.0,2701.0,10807,Python Imaging Library (Fork).,435.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1154195.0,1154195.0,https://pypi.org/project/Pillow,56394496.0,56717452.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,27451260.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-05-11 12:18:44.000000,2023-05-11 12:18:43,54177.0,841.0,3957,289.0,12359.0,4732.0,8380.0,10654,A computer algebra system written in pure Python.,1220.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,65705.0,61192.0,https://pypi.org/project/sympy,7712707.0,7756941.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3360258.0,,,,,1.0,499338.0,2022-08-30 17:34:08.040,4513.0,,,,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-05-11 14:00:36.000000,2023-05-11 13:26:38,60034.0,3373.0,17675,1645.0,67501.0,10992.0,22457.0,66613,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4045.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,9884870.0,10678423.0,https://anaconda.org/pytorch/pytorch,2023-05-05 17:30:27.921,15867286.0,,,,,1.0,15156.0,,,-5.0,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-05-11 13:25:48.000000,2023-05-11 13:25:45,36683.0,893.0,26848,2046.0,41111.0,246.0,,35704,Apache Spark Python API.,2872.0,45,True,2023-04-13 18:49:07.812,3.4.0,36.0,pyspark,conda-forge/pyspark,,,['spark'],1038.0,,https://pypi.org/project/pyspark,24250089.0,24284234.0,https://anaconda.org/conda-forge/pyspark,2023-04-16 06:33:25.403,2526731.0,,,,,1.0,,2022-11-28 18:27:04.218,1038.0,7.0,stable/spark,,,,,,,,,,,,,,,,
