,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,dnf_id,yay_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2021-12-05 13:14:34.000000,2021-12-05 13:14:34.000000,407,37.0,74.0,2658.0,1257.0,Benchmarks of approximate nearest neighbor libraries in Python.,65.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-09 17:23:26.000000,2021-12-09 17:23:25.000000,92,4.0,2.0,1383.0,,Collection of web-scraping and crawling libraries.,7.0,0,True,2021-12-09 17:23:42.000000,2021.12.09,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-16 13:44:40.000000,2021-12-16 13:44:40.000000,137,,4.0,1866.0,,Collection of data-loading and -extraction libraries.,5.0,0,True,2021-12-16 13:44:46.000000,2021.12.16,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2021-12-16 13:44:40.000000,2021-12-16 13:44:40.000000,137,,4.0,1866.0,,Collection of database clients for python.,5.0,0,True,2021-12-16 13:44:46.000000,2021.12.16,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-12-16 13:47:27.343423,2021-12-16 12:30:20.000000,85965,2743.0,31016.0,163234.0,122798.0,An Open Source Machine Learning Framework for Everyone.,3877.0,44,True,2021-11-04 21:39:30.000000,2.7.0,139.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],194763.0,172239.0,https://pypi.org/project/tensorflow,2021-11-04 21:19:34.000000,22524.0,15088986.0,15990818.0,https://anaconda.org/conda-forge/tensorflow,2021-12-08 18:39:34.795000,2946036.0,https://hub.docker.com/r/tensorflow/tensorflow,2021-12-16 13:47:27.343423,1974.0,62717000.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2021-12-16 14:22:29.000000,2021-12-16 05:01:50.000000,13615,3505.0,18320.0,32004.0,28447.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2870.0,43,True,2021-12-12 14:30:49.000000,1.3.5,99.0,pandas,conda-forge/pandas,,,['pandas'],672430.0,595646.0,https://pypi.org/project/pandas,2021-12-12 14:30:49.000000,76784.0,70830591.0,71157146.0,https://anaconda.org/conda-forge/pandas,2021-12-13 14:57:19.916000,21788006.0,,,,,1.0,,129295.0,,,,,,,,,,,,,,,,,,,
6,scipy,scipy/scipy,,others,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000000,2021-12-16 08:29:28.000000,2021-12-16 02:57:36.000000,4007,1811.0,6297.0,8938.0,26879.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1208.0,42,True,2021-11-24 18:44:51.000000,1.7.3,73.0,scipy,conda-forge/scipy,,,,522696.0,435834.0,https://pypi.org/project/scipy,2021-12-11 16:00:32.000000,86862.0,33077381.0,33378368.0,https://anaconda.org/conda-forge/scipy,2021-11-25 04:00:02.224000,19875625.0,,,,,1.0,1.0,333883.0,,,,,,,,,,,,,,,,,,,
7,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-12-16 09:01:37.000000,2021-12-16 09:01:37.000000,4134,484.0,4151.0,18374.0,11801.0,Asynchronous task queue/job queue based on distributed message passing.,1167.0,40,True,2021-11-16 14:56:22.000000,5.2.1,185.0,celery,conda-forge/celery,,,,90282.0,62048.0,https://pypi.org/project/celery,2021-11-16 14:56:13.000000,28234.0,4942446.0,4953520.0,https://anaconda.org/conda-forge/celery,2021-06-29 08:06:51.307000,764174.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-12-16 14:02:24.000000,2021-12-16 13:44:40.000000,14478,10761.0,16296.0,52773.0,42445.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3007.0,39,True,2021-12-15 22:27:43.000000,1.10.1,37.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-12-15 21:58:45.000000,6682.0,6272196.0,6565012.0,https://anaconda.org/pytorch/pytorch,2021-12-15 21:52:11.758000,14347553.0,,,,,1.0,,603.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-12-16 14:08:48.000000,2021-12-16 09:42:02.000000,13152,421.0,7982.0,55666.0,8499.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1096.0,38,True,2021-12-15 19:02:04.000000,4.14.1,82.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",20019.0,19891.0,https://pypi.org/project/transformers,2021-12-15 18:57:17.000000,128.0,3161673.0,3165063.0,https://anaconda.org/conda-forge/transformers,2021-12-16 07:26:40.527000,87167.0,,,,,1.0,,1417.0,,,,,,,,,,,,,,,,,,,
