,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-24 10:46:05.000000,2024-05-24 10:46:05,1559.0,20.0,685.0,117.0,332.0,60.0,144.0,4672.0,Benchmarks of approximate nearest neighbor libraries in Python.,105.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-23 16:49:09.000000,2024-05-23 16:49:08,342.0,27.0,162.0,56.0,202.0,,3.0,2206.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-23 16:49:13.000,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000000,2024-05-30 14:43:22,357.0,26.0,244.0,88.0,198.0,6.0,5.0,3477.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-05-30 14:43:28.000,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000000,2024-05-30 14:43:22,357.0,26.0,244.0,88.0,198.0,6.0,5.0,3477.0,Collection of database clients for python.,12.0,0,True,2024-05-30 14:43:28.000,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000000,2024-05-30 14:43:22,357.0,26.0,244.0,88.0,198.0,6.0,5.0,3477.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-05-30 14:43:28.000,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000000,2024-05-30 14:43:22,357.0,26.0,244.0,88.0,198.0,6.0,5.0,3477.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-05-30 14:43:28.000,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-30 13:58:38.000000,2024-05-30 12:32:14,165132.0,4093.0,73970.0,7629.0,28980.0,2893.0,37325.0,185587.0,An Open Source Machine Learning Framework for Everyone.,4610.0,56,True,2024-03-09 00:23:14.000,2.16.1,193.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],381758.0,374432.0,https://pypi.org/project/tensorflow,2024-03-09 00:23:14.000,7326.0,22001326.0,22859529.0,https://anaconda.org/conda-forge/tensorflow,2024-05-24 12:35:11.711,4642438.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-30 12:49:34.164230,2427.0,77242753.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-30 14:08:26.000000,2024-05-30 14:08:16,73651.0,3536.0,21239.0,1719.0,84939.0,14049.0,29169.0,78965.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4877.0,55,True,2024-04-24 16:12:17.000,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],473303.0,456861.0,https://pypi.org/project/torch,2024-04-24 15:44:27.000,16442.0,29056342.0,29734043.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21671710.0,,,,,1.0,42451.0,,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-30 14:26:41.000000,2024-05-30 14:25:43,16025.0,782.0,25051.0,1099.0,15878.0,1069.0,14038.0,126894.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2598.0,52,True,2024-05-22 20:36:44.000,4.41.1,143.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",179455.0,174302.0,https://pypi.org/project/transformers,2024-05-22 20:36:40.000,5153.0,28120195.0,28157163.0,https://anaconda.org/conda-forge/transformers,2024-05-23 03:00:54.170,1700555.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-30 13:56:00.000000,2024-05-30 12:07:33,31350.0,293.0,25019.0,2141.0,17256.0,2050.0,9339.0,58472.0,scikit-learn: machine learning in Python.,3123.0,52,True,2024-05-21 16:37:08.000,1.5.0,79.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],810060.0,788344.0,https://pypi.org/project/scikit-learn,2024-05-21 16:33:03.000,21716.0,67386755.0,67981294.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-23 19:24:01.860,28537454.0,,,,,1.0,957.0,,,,,,,,,,,,,,,,,,,
