,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,docs_url,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-11-16 20:32:21.000000,2022-11-16 20:32:21,1317.0,16.0,463,96.0,190.0,46.0,81.0,3123,Benchmarks of approximate nearest neighbor libraries in Python.,72.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-11 17:22:10.000000,2022-11-11 17:22:09,178.0,25.0,130,50.0,111.0,,2.0,1727,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-11-11 17:22:17.000,2022.11.10,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-17 13:52:47.000000,2022-11-10 14:11:34,194.0,22.0,181,81.0,113.0,2.0,4.0,2603,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-17 13:52:47.000000,2022-11-10 14:11:34,194.0,22.0,181,81.0,113.0,2.0,4.0,2603,Collection of database clients for python.,9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-17 13:52:47.000000,2022-11-10 14:11:34,194.0,22.0,181,81.0,113.0,2.0,4.0,2603,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-11-17 13:52:47.000000,2022-11-10 14:11:34,194.0,22.0,181,81.0,113.0,2.0,4.0,2603,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",9.0,0,True,2022-11-10 14:11:40.000,2022.11.10,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-11-17 14:16:24.000000,2022-11-17 10:47:21,29247.0,416.0,23629,2173.0,14524.0,2128.0,8214.0,52098,scikit-learn: machine learning in Python.,2787.0,52,True,2022-10-26 14:44:14.000,1.1.3,65.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],828.0,37190203.0,439391.0,413725.0,https://pypi.org/project/scikit-learn,2022-08-05 14:46:05.647,25666.0,36972773.0,https://anaconda.org/conda-forge/scikit-learn,2022-10-27 17:28:40.831,16958831.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-11-17 14:27:15.000000,2022-11-17 14:21:06,11355.0,877.0,16782,861.0,9846.0,550.0,9963.0,74381,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1617.0,50,True,2022-11-01 15:45:13.000,4.24.0,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",625.0,8421828.0,40987.0,40012.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8405767.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,593796.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-11-17 14:19:37.000000,2022-11-17 13:55:06,53927.0,3012.0,16774,1610.0,59621.0,10537.0,19779.0,60349,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3696.0,50,True,2022-10-28 16:54:00.000,1.13.0,42.0,torch,pytorch/pytorch,['pytorch'],8024.0,10144105.0,7631.0,,https://pypi.org/project/torch,2022-06-28 16:21:51.000,7631.0,8657459.0,https://anaconda.org/pytorch/pytorch,2022-10-26 20:56:37.700,20811534.0,1.0,,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-11-17 14:38:36.000000,2022-11-17 04:56:18,44936.0,835.0,6578,586.0,15409.0,1893.0,7489.0,16420,matplotlib: plotting with Python.,1429.0,49,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,32435988.0,713163.0,658103.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55060.0,32267288.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,14508221.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-11-17 09:30:27.000000,2022-11-16 03:17:07,29032.0,485.0,4468,339.0,8780.0,1699.0,7227.0,10470,"Ecosystem of open-source software for mathematics, science, and engineering.",1390.0,49,True,2022-10-20 02:34:14.000,1.9.3,85.0,scipy,conda-forge/scipy,,360931.0,47023119.0,652321.0,594102.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,46636726.0,https://anaconda.org/conda-forge/scipy,2022-11-09 07:11:47.295,29818783.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-11-16 21:27:16.000000,2022-11-16 21:26:47,14010.0,401.0,1929,216.0,3984.0,111.0,2576.0,10311,The friendly PIL fork (Python Imaging Library).,418.0,47,True,2022-10-29 15:26:51.013,9.3.0,90.0,Pillow,conda-forge/pillow,,,51056381.0,965888.0,902741.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,50794598.0,https://anaconda.org/conda-forge/pillow,2022-10-28 02:28:04.632,20680915.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-11-17 03:09:11.000000,2022-11-17 03:09:11,52498.0,586.0,3769,283.0,11889.0,4549.0,8169.0,9800,A computer algebra system written in pure Python.,1181.0,47,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,473151.0,3376263.0,52302.0,48092.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,3338667.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2603024.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-11-17 05:32:05.000000,2022-11-17 00:50:10,7519.0,238.0,19199,1935.0,5690.0,335.0,11267.0,56657,Deep Learning for humans.,1126.0,45,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,['tensorflow'],,9903505.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9867629.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2690771.0,1.0,,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,
