,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-01-10 20:21:25.000000,2024-01-10 20:21:25,1536.0,6.0,625.0,111.0,306.0,47.0,132.0,4294.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-04 16:59:33.000000,2024-01-04 16:59:32,297.0,24.0,157.0,51.0,177.0,,3.0,2098.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-01-04 16:59:39.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-11 14:47:28.000000,2024-01-04 14:11:26,315.0,24.0,220.0,89.0,178.0,4.0,5.0,3270.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-11 14:47:28.000000,2024-01-04 14:11:26,315.0,24.0,220.0,89.0,178.0,4.0,5.0,3270.0,Collection of database clients for python.,12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-11 14:47:28.000000,2024-01-04 14:11:26,315.0,24.0,220.0,89.0,178.0,4.0,5.0,3270.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-01-11 14:47:28.000000,2024-01-04 14:11:26,315.0,24.0,220.0,89.0,178.0,4.0,5.0,3270.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-01-04 14:11:33.000,2024.01.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-01-11 13:49:03.643408,2024-01-11 13:32:42,158239.0,3165.0,89294.0,7655.0,23602.0,2049.0,36673.0,182142.0,An Open Source Machine Learning Framework for Everyone.,4524.0,55,True,2023-11-14 19:04:31.000,2.15.0,189.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],349772.0,334350.0,https://pypi.org/project/tensorflow,2023-12-05 22:50:47.000,15422.0,16330530.0,17474327.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4454976.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-01-11 13:49:03.643408,2246.0,75709836.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-01-11 14:15:00.000000,2024-01-11 13:30:44,68188.0,3089.0,20423.0,1679.0,77998.0,13074.0,26682.0,74299.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4581.0,54,True,2023-12-15 01:59:57.000,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],385655.0,373642.0,https://pypi.org/project/torch,2023-12-14 21:46:00.000,12013.0,14910508.0,15623061.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19941420.0,,,,,1.0,31724.0,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-01-11 12:34:13.000000,2024-01-11 10:31:39,30782.0,249.0,24963.0,2148.0,16570.0,2252.0,8970.0,57023.0,scikit-learn: machine learning in Python.,3031.0,52,True,2023-10-25 08:23:32.000,1.3.2,74.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],708790.0,677957.0,https://pypi.org/project/scikit-learn,2023-12-20 19:43:30.000,30833.0,42355032.0,42943606.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25896817.0,,,,,1.0,933.0,,,,,,,,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-01-11 14:38:49.000000,2024-01-11 14:38:44,14868.0,665.0,23679.0,1069.0,14354.0,927.0,13024.0,118463.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2345.0,50,True,2023-12-18 18:44:02.000,4.36.2,128.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",131591.0,128875.0,https://pypi.org/project/transformers,2023-12-18 18:24:40.000,2716.0,18315169.0,18350452.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1481925.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
