,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,3.0,739.0,118.0,340.0,71.0,145.0,4924.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,169.0,58.0,205.0,,3.0,2310.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3666.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3666.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3666.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,257.0,93.0,199.0,7.0,6.0,3666.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12.000,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-10-24 14:17:12.000000,2024-10-24 14:17:02,171353.0,3810.0,74277.0,7589.0,38111.0,5512.0,38439.0,188783.0,An Open Source Machine Learning Framework for Everyone.,4699.0,55,True,2024-07-11 16:45:52.000,2.17.0,200.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],429074.0,421070.0,https://pypi.org/project/tensorflow,2024-10-16 18:29:33.000,8004.0,18707254.0,19538216.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5033566.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-10-24 12:51:22.898468,2587.0,78352366.0,1.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-10-24 14:15:51.000000,2024-10-24 12:39:31,79944.0,3746.0,22412.0,1739.0,92590.0,15161.0,31775.0,83280.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5197.0,55,True,2024-10-17 16:26:53.000,2.5.0,56.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],570667.0,551245.0,https://pypi.org/project/torch,2024-10-17 14:44:26.000,19422.0,34897258.0,35550172.0,https://anaconda.org/pytorch/pytorch,2024-10-16 16:20:15.870,24134171.0,,,,,1.0,62137.0,-1.0,,,,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-10-24 14:19:45.000000,2024-10-24 13:22:50,17239.0,784.0,26783.0,1122.0,17896.0,1448.0,14971.0,133898.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2897.0,52,True,2024-10-24 08:15:48.000,4.46.0,161.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",237640.0,231125.0,https://pypi.org/project/transformers,2024-10-24 08:15:07.000,6515.0,45099705.0,45141777.0,https://anaconda.org/conda-forge/transformers,2024-10-24 11:52:28.443,2145712.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-10-24 13:56:58.000000,2024-10-24 13:56:58,31839.0,280.0,25351.0,2141.0,17913.0,2073.0,9651.0,59867.0,scikit-learn: machine learning in Python.,3203.0,52,True,2024-09-11 15:52:05.000,1.5.2,81.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],950361.0,925676.0,https://pypi.org/project/scikit-learn,2024-09-11 15:49:19.000,24685.0,82019037.0,82616841.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31683101.0,,,,,1.0,1028.0,,,,,,,,,,,,,,,,,,,
