,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,bitbucket_id
0,ANN Benchmarks,erikbern/ann-benchmarks,True,nn-search,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000000,2022-01-10 13:20:20.000000,2021-12-30 20:02:39.000000,1265.0,32.0,409,97.0,175.0,37.0,74.0,2719.0,Benchmarks of approximate nearest neighbor libraries in Python.,65.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,True,web-scraping,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2022-01-13 16:05:04.000000,2022-01-11 04:16:58.000000,100.0,18.0,91,49.0,65.0,4.0,2.0,1406.0,Collection of web-scraping and crawling libraries.,7.0,0,True,2022-01-06 18:53:44.000000,2022.01.06,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,True,data-loading,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2022-01-13 13:41:24.000000,2022-01-11 04:16:02.000000,106.0,21.0,138,68.0,63.0,,4.0,1912.0,Collection of data-loading and -extraction libraries.,6.0,0,True,2022-01-08 22:06:58.000000,2022.01.08,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,True,db-clients,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000000,2022-01-13 13:41:24.000000,2022-01-11 04:16:02.000000,106.0,21.0,138,68.0,63.0,,4.0,1912.0,Collection of database clients for python.,6.0,0,True,2022-01-08 22:06:58.000000,2022.01.08,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2022-01-13 13:54:17.000000,2022-01-13 13:53:14.000000,123814.0,4213.0,86140,7946.0,19590.0,2546.0,31403.0,163991.0,An Open Source Machine Learning Framework for Everyone.,3892.0,55,True,2021-11-04 21:39:30.000000,2.7.0,140.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],189555.0,175731.0,https://pypi.org/project/tensorflow,2021-12-22 20:40:23.000000,13824.0,12977129.0,13881496.0,https://anaconda.org/conda-forge/tensorflow,2021-12-08 18:39:34.795000,2976339.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-01-13 13:50:09.680319,1983.0,63776784.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pandas,pandas-dev/pandas,,data-containers,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas,BSD-3-Clause,2010-08-24 01:37:33.000000,2022-01-13 15:06:56.000000,2022-01-13 13:47:47.000000,28701.0,748.0,13728,1108.0,23495.0,3404.0,18557.0,32299.0,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R..",2892.0,52,True,2021-12-12 14:30:49.000000,1.3.5,100.0,pandas,conda-forge/pandas,,,['pandas'],669269.0,612470.0,https://pypi.org/project/pandas,2022-01-06 11:01:13.000000,56799.0,68150312.0,68477511.0,https://anaconda.org/conda-forge/pandas,2022-01-07 11:48:05.436000,22156042.0,,,,,1.0,132007.0,,,,,,,,,,,,,,,,,,,,
6,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2022-01-13 14:48:32.000000,2022-01-13 13:58:53.000000,28821.0,782.0,6348,561.0,10543.0,2311.0,8188.0,19321.0,The fundamental package for scientific computing with Python.,1378.0,50,True,2021-12-31 20:52:36.000000,1.22.0,120.0,numpy,conda-forge/numpy,,,,1052272.0,936020.0,https://pypi.org/project/numpy,2021-12-31 20:32:18.000000,116252.0,82866105.0,83279424.0,https://anaconda.org/conda-forge/numpy,2022-01-03 03:29:08.694000,27619010.0,,,,,1.0,443825.0,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2022-01-13 14:02:14.000000,2022-01-13 11:27:06.000000,42991.0,2039.0,14632,1604.0,47109.0,11047.0,16523.0,53271.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3054.0,49,True,2021-12-15 22:27:43.000000,1.10.1,37.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6580.0,,https://pypi.org/project/torch,2021-12-15 21:58:45.000000,6580.0,5714987.0,6008290.0,https://anaconda.org/pytorch/pytorch,2021-12-15 21:52:11.758000,14664181.0,,,,,1.0,1285.0,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2022-01-13 13:57:17.000000,2022-01-13 13:57:17.000000,27732.0,366.0,22434,2216.0,12700.0,2478.0,7399.0,48532.0,scikit-learn: machine learning in Python.,2446.0,49,True,2021-12-25 20:30:08.000000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],326394.0,301918.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000000,24476.0,22551627.0,22711965.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879000,10902262.0,,,,,1.0,762.0,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2022-01-13 11:58:40.000000,2022-01-13 11:58:40.000000,41882.0,913.0,6167,573.0,13968.0,1738.0,6789.0,14870.0,matplotlib: plotting with Python.,1326.0,49,True,2021-12-11 08:22:08.000000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,537682.0,485244.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000000,52438.0,23734027.0,23875138.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086000,10724448.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
