,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-11-09 13:01:50.000000,2023-10-23 18:26:19,1535.0,21.0,602.0,107.0,304.0,45.0,130.0,4164.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-02 18:05:30.000000,2023-11-02 18:05:29,279.0,22.0,153.0,52.0,166.0,1.0,2.0,2049.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-11-02 18:06:09.000,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-09 14:44:16.000000,2023-11-09 14:44:16,299.0,27.0,222.0,88.0,169.0,4.0,4.0,3219.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-09 14:44:16.000000,2023-11-09 14:44:16,299.0,27.0,222.0,88.0,169.0,4.0,4.0,3219.0,Collection of database clients for python.,12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-09 14:44:16.000000,2023-11-09 14:44:16,299.0,27.0,222.0,88.0,169.0,4.0,4.0,3219.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-09 14:44:16.000000,2023-11-09 14:44:16,299.0,27.0,222.0,88.0,169.0,4.0,4.0,3219.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-11-09 14:45:29.000,2023.04.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-09 14:06:12.000000,2023-11-09 14:06:06,156044.0,3722.0,71867.0,7682.0,23507.0,1926.0,36328.0,180906.0,An Open Source Machine Learning Framework for Everyone.,4490.0,54,True,2023-09-26 22:45:05.000,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],317251.0,317251.0,https://pypi.org/project/tensorflow,17824986.0,19047044.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4412944.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-09 13:49:36.716592,2231.0,74953358.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-09 14:12:31.000000,2023-11-09 13:13:29,66121.0,3233.0,19106.0,1681.0,75399.0,12286.0,25374.0,72384.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4467.0,53,True,2023-10-04 17:32:12.000,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],340471.0,340471.0,https://pypi.org/project/torch,14725193.0,15473233.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19440970.0,,,,,1.0,26801.0,,,,,,,,,,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-09 13:05:12.000000,2023-11-08 15:28:28,30611.0,356.0,23912.0,2158.0,16343.0,1624.0,8896.0,56353.0,scikit-learn: machine learning in Python.,3011.0,52,True,2023-10-25 08:23:32.000,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],633080.0,633080.0,https://pypi.org/project/scikit-learn,44200189.0,44805865.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25438046.0,,,,,1.0,909.0,,,,,,,,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-11-09 09:03:59.000000,2023-11-09 09:03:51,49075.0,933.0,7034.0,594.0,17367.0,1495.0,8722.0,18384.0,matplotlib: plotting with Python.,1605.0,51,True,2023-11-01 00:39:39.000,3.8.1,117.0,matplotlib,conda-forge/matplotlib,,,,1056026.0,993233.0,https://pypi.org/project/matplotlib,43893871.0,44411803.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21235222.0,,,,,1.0,,2023-11-01 00:39:39.000,62793.0,,,,,,,,,,,,,,,,,,,
